Numeracao_geral	Numeracao_p_analise	Localizacao	ponto	numeracao_animal	tcmax_final	LogCTM	Taxon	Classe	Ordem	Famila	Sub-Familia	Genero	Especie	Sexo	Nofly/Fly	Habitat	Latitude	Longitude	Altitude	Localidade	Temperatura	TempAR	TempSOLO	Peso (g)
805	2	2.0	10	363	40.50	1.61	Artrhopoda	Insecta	Hemiptera	Reeduvidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
806	2	2.0	10	364	40.50	1.61	Artrhopoda	Insecta	Hemiptera	Reeduvidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
807	2	2.0	10	365	40.50	1.61	Artrhopoda	Arachnida	Araneae	Linyphiidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
808	2	2.0	10	366	41.50	1.62	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
810	2	2.0	10	368	45.50	1.66	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Atta	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
811	2	2.0	10	369	47.50	1.68	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
812	2	2.0	10	370	32.00	1.51	Artrhopoda	Insecta	Hymenoptera	Formicidae	Formicinae	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
813	2	2.0	10	371	32.50	1.51	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
814	2	2.0	10	372	38.50	1.59	Artrhopoda	Entognatha (Collembola)	Collembola	0	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
815	2	2.0	10	373	41.50	1.62	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
816	2	2.0	10	374	42.50	1.63	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
817	2	2.0	10	375	42.50	1.63	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
818	2	2.0	10	376	43.50	1.64	Artrhopoda	Arachnida	Araneae	Araneidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
819	2	2.0	10	377	44.50	1.65	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
820	2	2.0	10	378	45.50	1.66	Artrhopoda	Arachnida	Araneae	Salticidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0001
821	2	2.0	10	379	47.50	1.68	Artrhopoda	Arachnida	Araneae	Salticidae	0	0	0	0	No	Cerrado	-22.372	-47.986	833	EEItirapina			25.5	0.0004
822	2	2.0	11	380	37.50	1.57	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	Cerrado	-22.349	-47.84	833	EEItirapina			25.5	0.0001
823	2	2.0	11	381	37.50	1.57	Artrhopoda	Arachnida	Araneae	Araneidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0012
824	2	2.0	11	382	38.50	1.59	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
825	2	2.0	11	383	39.00	1.59	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
826	2	2.0	11	384	39.50	1.60	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
827	2	2.0	11	385	42.50	1.63	Artrhopoda	Insecta	Dermaptera	0	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
828	2	2.0	11	386	43.50	1.64	Artrhopoda	Arachnida	Araneae	Oxyopidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0014
829	2	2.0	11	387	44.00	1.64	Artrhopoda	Arachnida	Araneae	Titanoecidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0018
830	2	2.0	11	388	44.50	1.65	Artrhopoda	Insecta	Dermaptera	0	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
831	2	2.0	11	389	45.50	1.66	Artrhopoda	Arachnida	Araneae	Thomisidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0008
833	2	2.0	11	391	34.00	1.53	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
834	2	2.0	11	392	35.50	1.55	Artrhopoda	Insecta	Orthoptera 	0	0	0	0	0	Yes	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
836	2	2.0	11	394	37.50	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
837	2	2.0	11	395	40.50	1.61	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
838	2	2.0	11	396	40.50	1.61	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
839	2	2.0	11	397	40.50	1.61	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
842	2	2.0	11	400	42.50	1.63	Artrhopoda	Arachnida	Araneae	Titanoecidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
844	2	2.0	11	402	37.00	1.57	Artrhopoda	Insecta	Dermaptera	0	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
845	2	2.0	11	403	37.50	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
846	2	2.0	11	404	37.50	1.57	Artrhopoda	Insecta	Orthoptera 	0	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
848	2	2.0	11	406	39.50	1.60	Artrhopoda	Insecta	Isoptera	0	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
849	2	2.0	11	407	40.50	1.61	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Crematogaster	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
851	2	2.0	11	409	41.50	1.62	Artrhopoda	Arachnida	Araneae	0	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0001
852	2	2.0	11	410	42.00	1.62	Artrhopoda	Arachnida	Araneae	Anyphaenidae	0	0	0	0	No	Cerrado	-22.349	-47.84	833	EEItirapina			21	0.0010
854	3	3.0	1	1	43.50	1.64	Artrhopoda	Arachnida	Araneae	Salticidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
855	3	3.0	1	2	45.00	1.65	Artrhopoda	Arachnida	Araneae	Zoridae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
856	3	3.0	1	3	45.00	1.65	Artrhopoda	Arachnida	Araneae	Salticidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
857	3	3.0	1	4	47.00	1.67	Artrhopoda	Arachnida	Araneae	Salticidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
858	3	3.0	1	5	48.00	1.68	Artrhopoda	Arachnida	Araneae	Salticidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0004
859	3	3.0	1	6	50.00	1.70	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0006
860	3	3.0	1	7	50.00	1.70	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0000
861	3	3.0	1	8	50.00	1.70	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0021
862	3	3.0	1	9	51.00	1.71	Artrhopoda	Arachnida	Araneae	Salticidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0014
863	3	3.0	1	10	52.00	1.72	Artrhopoda	Arachnida	Araneae	Salticidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
865	3	3.0	1	14	42.00	1.62	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
866	3	3.0	1	15	43.00	1.63	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
867	3	3.0	1	16	43.00	1.63	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
868	3	3.0	1	17	43.00	1.63	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
869	3	3.0	1	18	44.00	1.64	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
870	3	3.0	1	19	45.00	1.65	Artrhopoda	Arachnida	Araneae	Zoridae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
871	3	3.0	1	20	48.00	1.68	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
872	3	3.0	1	21	50.00	1.70	Artrhopoda	Arachnida	Araneae	Linyphiidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
873	3	3.0	1	22	51.00	1.71	Artrhopoda	Arachnida	Araneae	Salticidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
874	3	3.0	1	23	39.00	1.59	Artrhopoda	Chilopoda	Geophilomorpha	0	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0020
875	3	3.0	1	24	41.00	1.61	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
876	3	3.0	1	25	42.00	1.62	Artrhopoda	Arachnida	Araneae	Titanoecidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0006
877	3	3.0	1	26	44.00	1.64	Artrhopoda	Entognatha (Collembola)	Collembola	0	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
878	3	3.0	1	27	44.50	1.65	Artrhopoda	Arachnida	Araneae	Titanoecidae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
879	3	3.0	1	28	45.00	1.65	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
880	3	3.0	1	29	45.00	1.65	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
881	3	3.0	1	30	45.50	1.66	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
884	3	3.0	1	33	43.00	1.63	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
886	3	3.0	1	35	44.50	1.65	Artrhopoda	Arachnida	Araneae	Zoridae	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
889	3	3.0	1	38	60.00	1.78	Artrhopoda	Arachnida	Acari	0	0	0	0	0	No	MAAltitude	-22.932	-45.695	953	HortoFlorestalCamposdoJordao			22.4	0.0001
890	3	3.0	2	39	34.00	1.53	Artrhopoda	Arachnida	Araneae	Titanoecidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			22.4	0.0001
891	3	3.0	2	40	36.00	1.56	Artrhopoda	Arachnida	Araneae	Mimetidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			22.4	0.0001
893	3	3.0	2	42	40.00	1.60	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0013
894	3	3.0	2	43	40.50	1.61	Artrhopoda	Chilopoda	Geophilomorpha	0	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
895	3	3.0	2	44	46.50	1.67	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
896	3	3.0	2	45	47.00	1.67	Artrhopoda	Arachnida	Opiliones	Gonyleptidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
898	3	3.0	2	47	51.50	1.71	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
899	3	3.0	2	48	51.50	1.71	Artrhopoda	Arachnida	Araneae	Ctenidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0066
900	3	3.0	2	49	52.50	1.72	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
901	3	3.0	2	50	52.50	1.72	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0033
904	3	3.0	2	53	37.00	1.57	Artrhopoda	Arachnida	Araneae	Uloboridae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
905	3	3.0	2	54	40.00	1.60	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
906	3	3.0	2	55	42.00	1.62	Artrhopoda	Chilopoda	Geophilomorpha	0	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
907	3	3.0	2	56	42.50	1.63	Artrhopoda	Arachnida	Araneae	Titanoecidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
908	3	3.0	2	57	44.00	1.64	Artrhopoda	Insecta	Dermaptera	0	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
909	3	3.0	2	58	45.50	1.66	Artrhopoda	Arachnida	Araneae	Linyphiidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
910	3	3.0	2	59	46.00	1.66	Artrhopoda	Insecta	Dermaptera	0	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
911	3	3.0	2	60	47.00	1.67	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0049
912	3	3.0	2	61	47.50	1.68	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
913	3	3.0	2	62	47.50	1.68	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
914	3	3.0	2	63	48.00	1.68	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
915	3	3.0	2	64	48.00	1.68	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
916	3	3.0	2	65	49.00	1.69	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
917	3	3.0	2	66	49.50	1.69	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
918	3	3.0	2	67	49.50	1.69	Artrhopoda	Insecta	Hymenoptera	Formicidae	Formicinae	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0002
919	3	3.0	2	68	50.00	1.70	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
920	3	3.0	2	69	55.50	1.74	Artrhopoda	Insecta	Hymenoptera	Formicidae	Formicinae	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
921	3	3.0	2	70	56.00	1.75	Artrhopoda	Insecta	Hymenoptera	Formicidae	Formicinae	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0019
922	3	3.0	2	71	56.00	1.75	Artrhopoda	Arachnida	Araneae	Ctenidae	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
923	3	3.0	2	72	56.00	1.75	Artrhopoda	Insecta	Hymenoptera	Formicidae	Formicinae	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0035
924	3	3.0	2	73	56.00	1.75	Artrhopoda	Arachnida	Araneae	0	0	0	0	0	No	MAAltitude	-22.893	-45.478	579	HortoFlorestalCamposdoJordao			19	0.0001
925	3	3.0	3	74	41.00	1.61	Artrhopoda	Arachnida	Araneae	Titanoecidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			19	0.0001
928	3	3.0	3	77	50.50	1.70	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0018
929	3	3.0	3	78	55.50	1.74	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0049
933	3	3.0	3	82	41.50	1.62	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0010
934	3	3.0	3	83	41.50	1.62	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0010
935	3	3.0	3	84	42.00	1.62	Artrhopoda	Arachnida	Araneae	Zodaridae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0010
936	3	3.0	3	85	43.00	1.63	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
937	3	3.0	3	86	44.50	1.65	Artrhopoda	Arachnida	Araneae	Filistatidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
938	3	3.0	3	87	45.50	1.66	Artrhopoda	Arachnida	Araneae	Ctenidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0005
939	3	3.0	3	88	47.50	1.68	Artrhopoda	Arachnida	Araneae	0	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
940	3	3.0	3	89	51.50	1.71	Artrhopoda	Insecta	Hemiptera	0	0	0	0	0	Yes	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0020
943	3	3.0	3	92	36.50	1.56	Artrhopoda	Diplopoda	Polydesmida	0	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
945	3	3.0	3	94	37.50	1.57	Artrhopoda	Arachnida	Araneae	Titanoecidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
946	3	3.0	3	95	38.50	1.59	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
947	3	3.0	3	96	40.50	1.61	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
948	3	3.0	3	97	42.00	1.62	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
949	3	3.0	3	98	43.00	1.63	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
950	3	3.0	3	99	44.00	1.64	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
951	3	3.0	3	100	44.00	1.64	Artrhopoda	Arachnida	Araneae	Zodaridae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
952	3	3.0	3	101	34.00	1.53	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
953	3	3.0	3	102	34.50	1.54	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
954	3	3.0	3	103	35.00	1.54	Artrhopoda	Insecta	Orthoptera 	0	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
955	3	3.0	3	104	35.00	1.54	Artrhopoda	Arachnida	Acari	0	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
956	3	3.0	3	105	40.50	1.61	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0005
957	3	3.0	3	106	41.50	1.62	Artrhopoda	Arachnida	Acari	0	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0009
958	3	3.0	3	107	42.50	1.63	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0013
959	3	3.0	3	108	43.50	1.64	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0017
960	3	3.0	3	109	31.00	1.49	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0021
961	3	3.0	3	110	38.00	1.58	Artrhopoda	Arachnida	Araneae	Linyphiidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
962	3	3.0	3	111	41.00	1.61	Artrhopoda	Arachnida	Araneae	Linyphiidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
963	3	3.0	3	112	43.00	1.63	Artrhopoda	Arachnida	Araneae	Lycosidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
964	3	3.0	3	113	43.00	1.63	Artrhopoda	Arachnida	Araneae	Lycosidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0010
965	3	3.0	3	114	44.00	1.64	Artrhopoda	Arachnida	Araneae	Lycosidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0013
966	3	3.0	3	115	27.00	1.43	Artrhopoda	Insecta	Hemiptera	0	0	0	0	0	Yes	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
967	3	3.0	3	116	34.50	1.54	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
968	3	3.0	3	117	38.00	1.58	Artrhopoda	Insecta	Orthoptera 	Gryllidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
969	3	3.0	3	118	38.00	1.58	Artrhopoda	Arachnida	Araneae	Linyphiidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
971	3	3.0	3	120	42.00	1.62	Artrhopoda	Arachnida	Araneae	Ctenidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
972	3	3.0	3	121	43.00	1.63	Artrhopoda	Arachnida	Araneae	Tetragnathidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
973	3	3.0	3	122	43.50	1.64	Artrhopoda	Arachnida	Araneae	Lycosidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
974	3	3.0	3	123	44.00	1.64	Artrhopoda	Arachnida	Araneae	Lycosidae	0	0	0	0	No	MAAltitude	-22.872	-45.466	579	HortoFlorestalCamposdoJordao			15	0.0001
